#Parameters = {xs=9.9537052630149; L=33.245065661354; cl=10; er1=2.55; er11=0.01; er2=2.55; er22=0.01; h=1.6; r0=1.8; rin=1.5; rprobe=0.4; t=0.2; w=24.933799246016; wx=50; wy=50}
#"Frequency / GHz"	"S1,1 (1) [Magnitude]"
#----------------------------------------
8.6520004272461	-3.5387842599933
8.6560001373291	-3.5389211806025
8.6599998474121	-3.5394695311500
8.6639995574951	-3.5404326585917
8.6680002212524	-3.5418159708693
8.6719999313354	-3.5436471802594
8.6759996414185	-3.5459541342754
8.6800003051758	-3.5487839692680
8.6840000152588	-3.5521931635977
8.6879997253418	-3.5562522035203
8.6920003890991	-3.5610418814819
8.6960000991821	-3.5666534068445
8.6999998092651	-3.5731950341762
8.7040004730225	-3.5807796841685
8.7080001831055	-3.5895337120314
8.7119998931885	-3.5995921955267
8.7159996032715	-3.6111008388384
8.7200002670288	-3.6242116226950
8.7239999771118	-3.6390837387566
8.7279996871948	-3.6558822373080
8.7320003509521	-3.6747791153227
8.7360000610352	-3.6959488416843
8.7399997711182	-3.7195664373415
8.7440004348755	-3.7458121622220
8.7480001449585	-3.7748679004004
8.7519998550415	-3.8069079360488
8.7559995651245	-3.8421128246189
8.7600002288818	-3.8806559542581
8.7639999389648	-3.9227065051789
8.7679996490479	-3.9684327154960
8.7720003128052	-4.0179894023979
8.7760000228882	-4.0715319581989
8.7799997329712	-4.1291969582630
8.7840003967285	-4.1911196214323
8.7880001068115	-4.2574181338362
8.7919998168945	-4.3281974460887
8.7959995269775	-4.4035483243373
8.8000001907349	-4.4835450369332
8.8039999008179	-4.5682392479469
8.8079996109009	-4.6576638997865
8.8120002746582	-4.7518221081375
8.8159999847412	-4.8506979788694
8.8199996948242	-4.9542357904418
8.8240003585815	-5.0623483887093
8.8280000686646	-5.1749134117745
8.8319997787476	-5.2917591914314
8.8360004425049	-5.4126668311893
8.8400001525879	-5.5373692502010
8.8439998626709	-5.6655345680642
8.8479995727539	-5.7967667044116
8.8520002365112	-5.9306008892345
8.8559999465942	-6.0664943922671
8.8599996566772	-6.2038201907484
